[2] : 0.8251,-0.3104,0.5664,6.5460,2.0828,4.6768,-320.8702,18.7378,-551.7722,0.0142
[2] : 0.7772,-0.2443,0.5453,11.8865,4.2419,0.1144,-347.8592,30.7329,107.9591,0.0141
[2] : 0.7343,-0.2250,0.5502,-2.7084,-0.9536,-2.3803,-364.3525,29.2336,112.4573,0.0140
[2] : 0.7732,-0.2390,0.5549,-10.4598,-8.5372,-9.8419,-364.3525,29.2336,112.4573,0.0142
[2] : 0.7906,-0.2669,0.5824,-15.5410,-10.4293,-8.5601,-361.3537,35.2311,115.4561,0.0141
[2] : 0.8256,-0.2758,0.5602,-3.8223,-11.8026,-8.2550,-316.3721,17.2384,-556.2703,0.0142
[2] : 0.8579,-0.2576,0.6093,9.3841,-1.5106,-7.1792,-362.8531,27.7342,116.9555,0.0141
[2] : 0.8980,-0.2399,0.5762,20.5688,1.8386,-5.1651,-319.3708,17.2384,-571.2642,0.0141
[2] : 0.7860,-0.2295,0.5921,27.9006,19.3405,0.7858,-319.3708,17.2384,-571.2642,0.0141
[2] : 0.7835,-0.2051,0.5846,26.5731,13.8244,-3.2043,-356.8555,27.7342,107.9591,0.0141
[2] : 0.7760,-0.2015,0.6033,11.1465,6.2103,-6.0958,-356.8555,27.7342,107.9591,0.0142
[2] : 0.7997,-0.2224,0.5921,-0.9918,0.0991,-5.6838,-365.8519,42.7281,104.9604,0.0141
[2] : 0.7994,-0.2315,0.6062,-5.1345,0.7629,-7.7896,-319.3708,29.2336,-562.2679,0.0141
[2] : 0.8155,-0.2341,0.6120,-5.1879,0.5416,-8.6364,-355.3562,23.2360,103.4610,0.0142
[2] : 0.7972,-0.2463,0.6022,0.0000,-2.4642,-7.0800,-305.8763,15.7390,-557.7697,0.0141
[2] : 0.7853,-0.2152,0.5922,9.1018,3.6621,-6.4086,-110.9557,324.6133,-134.9419,0.0142
[2] : 0.7854,-0.1942,0.5814,-0.8010,-0.5416,-5.9585,-353.8568,30.7329,92.9653,0.0142
[2] : 0.7701,-0.2243,0.5968,-11.3143,-1.1291,-3.9749,-310.3745,20.2372,-556.2703,0.0142
[2] : 0.8035,-0.2417,0.5720,-10.0631,-5.3863,-5.8517,-368.8507,21.7366,107.9591,0.0141
[2] : 0.8118,-0.2517,0.5974,-6.9808,-4.8904,-0.6942,-314.8727,18.7378,-539.7770,0.0141
[2] : 0.8139,-0.2405,0.6043,-4.8599,-2.6702,-1.4953,-370.3500,29.2336,106.4598,0.0142
[2] : 0.7713,-0.2117,0.5798,6.1569,4.9896,1.8768,-370.3500,29.2336,103.4610,0.0141
[2] : 0.7602,-0.1966,0.5697,3.1280,1.5869,-5.7144,-314.8727,12.7403,-557.7697,0.0141
[2] : 0.7822,-0.2164,0.5889,-7.8506,-1.4724,-3.7612,-359.8543,24.7354,95.9640,0.0141
[2] : 0.7871,-0.2276,0.5783,-4.3792,2.7313,-5.4473,-359.8543,24.7354,95.9640,0.0141
[2] : 0.7858,-0.2275,0.5952,4.6310,3.3111,-5.6610,-370.3500,29.2336,112.4573,0.0142
[2] : 0.8069,-0.2867,0.5691,23.3459,25.1083,-15.6707,-370.3500,29.2336,112.4573,0.0141
[2] : 0.8331,-0.1804,0.7257,20.3704,-3.3645,31.6848,-302.8775,18.7378,-545.7746,0.0142
[2] : 0.8055,-0.3012,0.5510,39.0701,-9.7045,37.4450,-350.8580,24.7354,101.9616,0.0141
[2] : 0.8914,-0.1307,0.5728,28.2592,6.6528,4.7988,-311.8739,17.2384,-542.7758,0.0142
[2] : 0.8536,-0.2097,0.5665,32.8292,-33.6685,41.8167,-323.8690,15.7390,-557.7697,0.0141
[2] : 0.8286,-0.2360,0.5529,38.5284,-50.1480,18.8751,-350.8580,33.7317,113.9567,0.0141
[2] : 0.6593,-0.2359,0.6527,36.8499,15.9225,-18.4707,-313.3733,17.2384,-535.2789,0.0142
[2] : 0.7531,-0.2886,0.7417,42.9077,48.4695,51.0253,-313.3733,17.2384,-535.2789,0.0143
[2] : 0.7974,-0.2346,0.6621,64.1632,42.4270,34.7976,-349.3586,47.2262,100.4622,0.0142
[2] : 0.7658,-0.1932,0.5957,70.0683,48.3169,34.8281,-349.3586,47.2262,100.4622,0.0142
[2] : 0.7774,-0.2135,0.6006,56.8084,41.9158,36.7813,-356.8555,66.7183,65.9762,0.0142
[2] : 0.7661,-0.2155,0.6251,31.7153,24.4903,22.7661,-323.8690,12.7403,-557.7697,0.0141
[2] : 0.7553,-0.2619,0.6992,16.6244,9.7198,0.1754,-356.8555,75.7146,83.9689,0.0142
[2] : 0.7719,-0.2333,0.7198,17.9748,3.4179,-25.5966,-329.8666,15.7390,-548.7734,0.0141
[2] : 0.7554,-0.1624,0.7175,40.4205,19.3023,-54.2907,-103.4587,329.1115,-151.4351,0.0141
[2] : 0.7186,-0.1856,0.6789,47.3251,40.5120,-39.4973,-364.3525,50.2250,61.4781,0.0139
[2] : 0.7393,-0.1827,0.7235,49.9496,39.7949,-53.9093,-310.3745,8.2421,-553.2716,0.0142
[2] : 0.7289,-0.1599,0.7175,50.3692,25.4440,-71.1746,-364.3525,53.2238,64.4768,0.0141
[2] : 0.7275,-0.0997,0.6914,42.6864,21.4538,-57.7545,-316.3721,2.2445,-550.2728,0.0141
[2] : 0.7412,-0.0781,0.6766,31.4483,20.2789,-43.7088,-367.3513,44.2274,43.4854,0.0141
[2] : 0.7415,-0.1077,0.7127,15.5944,30.7235,-32.9284,-365.8519,42.7281,47.9836,0.0141
[2] : 0.7069,-0.1101,0.7548,4.9362,43.0831,-35.9497,-319.3708,2.2445,-551.7722,0.0142
[2] : 0.7247,-0.0961,0.7864,6.0806,60.1577,-26.8173,-370.3500,29.2336,40.4866,0.0142
[2] : 0.7448,-0.1140,0.8001,8.7203,90.0878,-15.4647,-370.3500,29.2336,40.4866,0.0141
[2] : 0.7338,-0.0996,0.8385,17.3721,114.6087,-22.3464,-377.8470,24.7354,29.9909,0.0141
[2] : 0.6731,-0.0629,0.8094,20.1492,114.6087,-29.8004,-377.8470,24.7354,29.9909,0.0141
[2] : 0.6889,-0.0128,0.7201,20.0958,109.9929,-32.8140,-316.3721,11.2409,-544.2752,0.0141
[2] : 0.6443,-0.0042,0.7351,13.8473,105.1177,-14.5568,-380.8458,30.7329,-11.9919,0.0138
[2] : 0.6002,-0.0560,0.8151,17.9748,85.0448,-3.8528,-380.8458,30.7329,-11.9919,0.0141
[2] : 0.6115,-0.0758,0.8932,39.9703,73.5321,-27.8396,-368.8507,27.7342,-29.9846,0.0141
[2] : 0.5701,-0.0293,0.8433,64.3310,83.5571,-42.1447,-368.8507,27.7342,-29.9846,0.0141
[2] : 0.4942,-0.0016,0.8075,67.4209,102.2491,-29.0908,-326.8678,6.7427,-551.7722,0.0141
[2] : 0.4520,-0.0215,0.8188,65.3305,76.1489,-22.5067,-376.3476,17.2384,-61.4718,0.0141
[2] : 0.5438,0.0905,0.8250,110.6796,-12.8479,-33.9584,-376.3476,17.2384,-61.4718,0.0141
